Signature: 3/8, Ticks per Beat: 36
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;69;0,1865;-1;9,0;0;0;0;0;0;0
0,1875;-1;1;1;9;68;0,0615;-1;3,0;0;0;0;0;0;0
0,25;-1;1;1;12;69;0,249;-1;12,0;0;0;0;0;0;0
0,5;-1;2;1;0;74;0,1865;-1;9,0;0;0;0;0;0;0
0,6875;-1;2;1;9;69;0,0615;-1;3,0;0;0;0;0;0;0
0,75;-1;2;1;12;72;0,499;-1;24,0;0;0;0;0;0;0
1,25;-1;3;1;12;70;0,249;-1;12,0;0;0;0;0;0;0
1,5;-1;4;1;0;67;0,1865;-1;9,0;0;0;0;0;0;0
1,6875;-1;4;1;9;66;0,0615;-1;3,0;0;0;0;0;0;0
1,75;-1;4;1;12;67;0,249;-1;12,0;0;0;0;0;0;0
2,0;-1;5;1;0;72;0,1865;-1;9,0;0;0;0;0;0;0
2,1875;-1;5;1;9;67;0,0615;-1;3,0;0;0;0;0;0;0
2,25;-1;5;1;12;70;0,499;-1;24,0;0;0;0;0;0;0
2,75;-1;6;1;12;69;0,249;-1;12,0;0;0;0;0;0;0
3,25;-1;7;1;12;60;0,1865;-1;9,0;0;0;0;0;0;0
3,4375;-1;7;1;24;59;0,0615;-1;3,0;0;0;0;0;0;0
3,5;-1;8;1;0;60;0,249;-1;12,0;0;0;0;0;0;0
3,75;-1;8;1;12;70;0,249;-1;12,0;0;0;0;0;0;0
4,0;-1;9;1;0;60;0,1865;-1;9,0;0;0;0;0;0;0
4,1875;-1;9;1;9;59;0,0615;-1;3,0;0;0;0;0;0;0
4,25;-1;9;1;12;60;0,249;-1;12,0;0;0;0;0;0;0
4,5;-1;10;1;0;69;0,249;-1;12,0;0;0;0;0;0;0
4,75;-1;10;1;12;60;0,1865;-1;9,0;0;0;0;0;0;0
4,9375;-1;10;1;24;59;0,0615;-1;3,0;0;0;0;0;0;0
5,0;-1;11;1;0;60;0,249;-1;12,0;0;0;0;0;0;0
5,25;-1;11;1;12;67;0,499;-1;24,0;0;0;0;0;0;0
5,75;-1;12;1;12;68;0,249;-1;12,0;0;0;0;0;0;0
6,0;-1;13;1;0;69;0,1865;-1;9,0;0;0;0;0;0;0
6,1875;-1;13;1;9;68;0,0615;-1;3,0;0;0;0;0;0;0
6,25;-1;13;1;12;69;0,249;-1;12,0;0;0;0;0;0;0
6,5;-1;14;1;0;74;0,0823;-1;4,0;0;0;0;0;0;0
6,5833;-1;14;1;4;69;0,0823;-1;4,0;0;0;0;0;0;0
6,6667;-1;14;1;8;74;0,0823;-1;4,0;0;0;0;0;0;0
6,75;-1;14;1;12;72;0,499;-1;24,0;0;0;0;0;0;0
7,25;-1;15;1;12;70;0,249;-1;12,0;0;0;0;0;0;0
7,5;-1;16;1;0;67;0,1865;-1;9,0;0;0;0;0;0;0
7,6875;-1;16;1;9;66;0,0615;-1;3,0;0;0;0;0;0;0
7,75;-1;16;1;12;67;0,124;-1;6,0;0;0;0;0;0;0
7,875;-1;16;1;18;74;0,124;-1;6,0;0;0;0;0;0;0
8,0;-1;17;1;0;72;0,124;-1;6,0;0;0;0;0;0;0
8,125;-1;17;1;6;67;0,124;-1;6,0;0;0;0;0;0;0
8,25;-1;17;1;12;70;0,499;-1;24,0;0;0;0;0;0;0
8,75;-1;18;1;12;69;0,249;-1;12,0;0;0;0;0;0;0
9,0;-1;19;1;0;60;0,1865;-1;9,0;0;0;0;0;0;0
9,1875;-1;19;1;9;59;0,0615;-1;3,0;0;0;0;0;0;0
9,25;-1;19;1;12;60;0,249;-1;12,0;0;0;0;0;0;0
9,5;-1;20;1;0;69;0,249;-1;12,0;0;0;0;0;0;0
9,75;-1;20;1;12;62;0,1865;-1;9,0;0;0;0;0;0;0
9,9375;-1;20;1;24;61;0,0615;-1;3,0;0;0;0;0;0;0
10,0;-1;21;1;0;62;0,249;-1;12,0;0;0;0;0;0;0
10,25;-1;21;1;12;70;0,249;-1;12,0;0;0;0;0;0;0
10,5;-1;22;1;0;64;0,1865;-1;9,0;0;0;0;0;0;0
10,6875;-1;22;1;9;63;0,0615;-1;3,0;0;0;0;0;0;0
10,75;-1;22;1;12;64;0,249;-1;12,0;0;0;0;0;0;0
11,0;-1;23;1;0;74;0,124;-1;6,0;0;0;0;0;0;0
11,125;-1;23;1;6;72;0,124;-1;6,0;0;0;0;0;0;0
11,25;-1;23;1;12;65;0,749;-1;36,0;0;0;0;0;1;0
