Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;67;0,874;-1;7,0;0;0;0;0;0;0
0,875;-1;1;2;3;66;0,124;-1;1,0;0;0;0;0;0;0
1,0;-1;1;3;0;72;0,874;-1;7,0;0;0;0;0;0;0
1,875;-1;1;4;3;71;0,124;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;0;75;0,499;-1;4,0;0;0;0;0;0;0
2,5;-1;2;2;0;74;0,499;-1;4,0;0;0;0;0;0;0
3,0;-1;2;3;0;65;0,874;-1;7,0;0;0;0;0;0;0
3,875;-1;2;4;3;64;0,124;-1;1,0;0;0;0;0;0;0
4,0;-1;3;1;0;73;0,874;-1;7,0;0;0;0;0;0;0
4,875;-1;3;2;3;72;0,124;-1;1,0;0;0;0;0;0;0
5,0;-1;3;3;0;70;0,374;-1;3,0;0;0;0;0;0;0
5,375;-1;3;3;3;68;0,124;-1;1,0;0;0;0;0;0;0
5,5;-1;3;4;0;68;0,374;-1;3,0;0;0;0;0;0;0
5,875;-1;3;4;3;66;0,124;-1;1,0;0;0;0;0;0;0
6,0;-1;4;1;0;72;0,499;-1;4,0;0;0;0;0;0;0
6,5;-1;4;2;0;71;0,499;-1;4,0;0;0;0;0;0;0
7,5;-1;4;4;0;60;0,499;-1;4,0;0;0;0;0;0;0
8,0;-1;5;1;0;70;0,874;-1;7,0;0;0;0;0;0;0
8,875;-1;5;2;3;64;0,124;-1;1,0;0;0;0;0;0;0
9,0;-1;5;3;0;65;0,874;-1;7,0;0;0;0;0;0;0
9,875;-1;5;4;3;59;0,124;-1;1,0;0;0;0;0;0;0
10,0;-1;6;1;0;60;0,374;-1;3,0;0;0;0;0;0;0
10,375;-1;6;1;3;62;0,124;-1;1,0;0;0;0;0;0;0
10,5;-1;6;2;0;63;0,249;-1;2,0;0;0;0;0;0;0
10,75;-1;6;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;66;1,374;-1;11,0;0;0;0;0;0;0
12,375;-1;7;1;3;72;0,124;-1;1,0;0;0;0;0;0;0
12,5;-1;7;2;0;71;0,374;-1;3,0;0;0;0;0;0;0
12,875;-1;7;2;3;75;0,124;-1;1,0;0;0;0;0;0;0
13,0;-1;7;3;0;74;0,374;-1;3,0;0;0;0;0;0;0
13,375;-1;7;3;3;69;0,124;-1;1,0;0;0;0;0;0;0
13,5;-1;7;4;0;71;0,374;-1;3,0;0;0;0;0;0;0
13,875;-1;7;4;3;67;0,124;-1;1,0;0;0;0;0;0;0
14,0;-1;8;1;0;72;0,499;-1;4,0;0;0;0;0;0;0
14,5;-1;8;2;0;60;0,499;-1;4,0;0;0;0;0;1;0
