Signature: 2/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,5;-1;0;2;0;57;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;0;2;2;61;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;1;1;0;62;0,499;-1;4,0;0;0;0;0;0;0
1,5;-1;1;2;0;54;0,249;-1;2,0;0;0;0;0;0;0
1,75;-1;1;2;2;57;0,249;-1;2,0;0;0;0;0;0;0
2,0;-1;2;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
2,5;-1;2;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;2;2;2;55;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;57;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;3;1;2;55;0,124;-1;1,0;0;0;0;0;0;0
3,375;-1;3;1;3;54;0,124;-1;1,0;0;0;0;0;0;0
3,5;-1;3;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;3;2;2;50;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;4;1;0;54;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;4;1;2;52;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;4;2;0;57;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;4;2;2;61;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;5;1;0;62;0,499;-1;4,0;0;0;0;0;0;0
5,5;-1;5;2;0;54;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;5;2;2;57;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;6;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
6,5;-1;6;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;6;2;2;55;0,249;-1;2,0;0;0;0;0;0;0
7,0;-1;7;1;0;57;0,249;-1;2,0;0;0;0;0;0;0
7,25;-1;7;1;2;55;0,124;-1;1,0;0;0;0;0;0;0
7,375;-1;7;1;3;54;0,124;-1;1,0;0;0;0;0;0;0
7,5;-1;7;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
7,75;-1;7;2;2;55;0,249;-1;2,0;0;0;0;0;0;0
8,0;-1;8;1;0;54;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;8;1;2;52;0,249;-1;2,0;0;0;0;0;0;0
8,5;-1;8;2;0;50;0,499;-1;4,0;0;0;0;0;1;0
