Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;70;0,249;-1;1,0;0;0;0;0;0;0
0,25;-1;1;1;1;69;0,249;-1;1,0;0;0;0;0;0;0
0,5;-1;1;2;0;68;0,749;-1;3,0;0;0;0;0;0;0
1,25;-1;1;3;1;67;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;1;4;0;68;0,249;-1;1,0;0;0;0;0;0;0
1,75;-1;1;4;1;67;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;0;66;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;1;65;0,249;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;64;0,749;-1;3,0;0;0;0;0;0;0
3,25;-1;2;3;1;65;0,249;-1;1,0;0;0;0;0;0;0
3,5;-1;2;4;0;66;0,249;-1;1,0;0;0;0;0;0;0
3,75;-1;2;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
4,0;-1;3;1;0;64;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;3;2;0;63;0,249;-1;1,0;0;0;0;0;0;0
4,75;-1;3;2;1;62;0,249;-1;1,0;0;0;0;0;0;0
5,0;-1;3;3;0;61;0,249;-1;1,0;0;0;0;0;0;0
5,25;-1;3;3;1;60;0,499;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;1;59;0,249;-1;1,0;0;0;0;0;0;0
6,0;-1;4;1;0;58;0,999;-1;4,0;0;0;0;0;1;0
