Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
0,25;-1;1;1;2;69;0,499;-1;4,0;0;0;0;0;0;0
0,75;-1;1;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;1;3;0;72;0,499;-1;4,0;0;0;0;0;0;0
1,5;-1;1;4;0;69;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;2;1;0;67;0,374;-1;3,0;0;0;0;0;0;0
2,375;-1;2;1;3;69;0,124;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;2;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;2;3;0;64;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;2;3;2;62;0,249;-1;2,0;0;0;0;0;0;0
3,5;-1;2;4;0;60;0,499;-1;4,0;0;0;0;0;0;0
4,0;-1;3;1;0;67;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;3;1;2;70;0,499;-1;4,0;0;0;0;0;0;0
4,75;-1;3;2;2;67;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;74;0,499;-1;4,0;0;0;0;0;0;0
5,5;-1;3;4;0;72;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;2;70;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;4;1;0;69;0,374;-1;3,0;0;0;0;0;0;0
6,375;-1;4;1;3;67;0,124;-1;1,0;0;0;0;0;0;0
6,5;-1;4;2;0;65;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;4;2;2;67;0,249;-1;2,0;0;0;0;0;0;0
7,0;-1;4;3;0;69;0,249;-1;2,0;0;0;0;0;0;0
7,75;-1;4;4;2;72;0,249;-1;2,0;0;0;0;0;0;0
8,0;-1;5;1;0;74;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;5;1;2;77;0,499;-1;4,0;0;0;0;0;0;0
8,75;-1;5;2;2;74;0,249;-1;2,0;0;0;0;0;0;0
9,0;-1;5;3;0;72;0,499;-1;4,0;0;0;0;0;0;0
9,5;-1;5;4;0;69;0,499;-1;4,0;0;0;0;0;0;0
10,25;-1;6;1;2;74;0,499;-1;4,0;0;0;0;0;0;0
10,75;-1;6;2;2;70;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;69;0,499;-1;4,0;0;0;0;0;0;0
11,5;-1;6;4;0;65;0,499;-1;4,0;0;0;0;0;0;0
12,0;-1;7;1;0;67;0,374;-1;3,0;0;0;0;0;0;0
12,375;-1;7;1;3;69;0,124;-1;1,0;0;0;0;0;0;0
12,5;-1;7;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
12,75;-1;7;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
13,0;-1;7;3;0;64;0,249;-1;2,0;0;0;0;0;0;0
13,25;-1;7;3;2;62;0,249;-1;2,0;0;0;0;0;0;0
13,5;-1;7;4;0;60;0,499;-1;4,0;0;0;0;0;0;0
14,25;-1;8;1;2;72;0,249;-1;2,0;0;0;0;0;0;0
14,5;-1;8;2;0;70;0,249;-1;2,0;0;0;0;0;0;0
14,75;-1;8;2;2;67;0,249;-1;2,0;0;0;0;0;0;0
15,0;-1;8;3;0;65;0,499;-1;4,0;0;0;0;0;1;0
