Signature: 12/8, Ticks per Beat: 3
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;65;0,249;-1;1,0;0;0;0;0;0;0
0,25;-1;1;1;1;67;0,249;-1;1,0;0;0;0;0;0;0
0,5;-1;1;1;2;68;0,249;-1;1,0;0;0;0;0;0;0
0,75;-1;1;2;0;70;0,249;-1;1,0;0;0;0;0;0;0
1,0;-1;1;2;1;68;0,249;-1;1,0;0;0;0;0;0;0
1,25;-1;1;2;2;67;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;1;3;0;65;0,249;-1;1,0;0;0;0;0;0;0
1,75;-1;1;3;1;67;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;1;3;2;68;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;1;4;0;70;0,499;-1;2,0;0;0;0;0;0;0
2,75;-1;1;4;2;72;0,249;-1;1,0;0;0;0;0;0;0
3,0;-1;2;1;0;68;0,249;-1;1,0;0;0;0;0;0;0
3,25;-1;2;1;1;65;0,999;-1;4,0;0;0;0;0;0;0
4,25;-1;2;2;2;72;0,249;-1;1,0;0;0;0;0;0;0
4,5;-1;2;3;0;68;0,249;-1;1,0;0;0;0;0;0;0
4,75;-1;2;3;1;65;1,249;-1;5,0;0;0;0;0;0;0
6,0;-1;3;1;0;65;0,249;-1;1,0;0;0;0;0;0;0
6,25;-1;3;1;1;67;0,249;-1;1,0;0;0;0;0;0;0
6,5;-1;3;1;2;68;0,249;-1;1,0;0;0;0;0;0;0
6,75;-1;3;2;0;70;0,249;-1;1,0;0;0;0;0;0;0
7,0;-1;3;2;1;68;0,249;-1;1,0;0;0;0;0;0;0
7,25;-1;3;2;2;67;0,249;-1;1,0;0;0;0;0;0;0
7,5;-1;3;3;0;68;0,249;-1;1,0;0;0;0;0;0;0
7,75;-1;3;3;1;70;0,249;-1;1,0;0;0;0;0;0;0
8,0;-1;3;3;2;72;0,249;-1;1,0;0;0;0;0;0;0
8,25;-1;3;4;0;73;0,499;-1;2,0;0;0;0;0;0;0
8,75;-1;3;4;2;75;0,249;-1;1,0;0;0;0;0;0;0
9,0;-1;4;1;0;72;0,249;-1;1,0;0;0;0;0;0;0
9,25;-1;4;1;1;68;0,999;-1;4,0;0;0;0;0;0;0
10,25;-1;4;2;2;75;0,249;-1;1,0;0;0;0;0;0;0
10,5;-1;4;3;0;72;0,249;-1;1,0;0;0;0;0;0;0
10,75;-1;4;3;1;68;1,249;-1;5,0;0;0;0;0;0;0
12,0;-1;5;1;0;72;0,499;-1;2,0;0;0;0;0;0;0
12,5;-1;5;1;2;72;0,249;-1;1,0;0;0;0;0;0;0
12,75;-1;5;2;0;60;0,499;-1;2,0;0;0;0;0;0;0
13,25;-1;5;2;2;60;0,249;-1;1,0;0;0;0;0;0;0
13,5;-1;5;3;0;62;0,499;-1;2,0;0;0;0;0;0;0
14,0;-1;5;3;2;62;0,249;-1;1,0;0;0;0;0;0;0
14,25;-1;5;4;0;64;0,749;-1;3,0;0;0;0;0;0;0
15,0;-1;6;1;0;65;0,249;-1;1,0;0;0;0;0;0;0
15,25;-1;6;1;1;64;0,249;-1;1,0;0;0;0;0;0;0
15,5;-1;6;1;2;65;0,249;-1;1,0;0;0;0;0;0;0
15,75;-1;6;2;0;67;0,249;-1;1,0;0;0;0;0;0;0
16,0;-1;6;2;1;65;0,249;-1;1,0;0;0;0;0;0;0
16,25;-1;6;2;2;67;0,249;-1;1,0;0;0;0;0;0;0
16,5;-1;6;3;0;68;0,249;-1;1,0;0;0;0;0;0;0
16,75;-1;6;3;1;67;0,249;-1;1,0;0;0;0;0;0;0
17,0;-1;6;3;2;68;0,249;-1;1,0;0;0;0;0;0;0
17,25;-1;6;4;0;70;0,249;-1;1,0;0;0;0;0;0;0
17,75;-1;6;4;2;70;0,249;-1;1,0;0;0;0;0;0;0
18,0;-1;7;1;0;72;0,249;-1;1,0;0;0;0;0;0;0
18,25;-1;7;1;1;70;0,249;-1;1,0;0;0;0;0;0;0
18,5;-1;7;1;2;68;0,249;-1;1,0;0;0;0;0;0;0
18,75;-1;7;2;0;68;0,249;-1;1,0;0;0;0;0;0;0
19,0;-1;7;2;1;68;0,249;-1;1,0;0;0;0;0;0;0
19,25;-1;7;2;2;70;0,249;-1;1,0;0;0;0;0;0;0
19,5;-1;7;3;0;68;0,249;-1;1,0;0;0;0;0;0;0
19,75;-1;7;3;1;67;0,249;-1;1,0;0;0;0;0;0;0
20,0;-1;7;3;2;65;0,249;-1;1,0;0;0;0;0;0;0
20,25;-1;7;4;0;64;0,249;-1;1,0;0;0;0;0;0;0
20,5;-1;7;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
20,75;-1;7;4;2;67;0,249;-1;1,0;0;0;0;0;0;0
21,0;-1;8;1;0;68;0,249;-1;1,0;0;0;0;0;0;0
21,25;-1;8;1;1;65;0,999;-1;4,0;0;0;0;0;0;0
22,25;-1;8;2;2;60;0,249;-1;1,0;0;0;0;0;0;0
22,5;-1;8;3;0;68;0,249;-1;1,0;0;0;0;0;0;0
22,75;-1;8;3;1;65;1,249;-1;5,0;0;0;0;0;1;0
