Signature: 2/2, Ticks per Beat: 12
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;47;0,499;-1;6,0;0;0;0;0;0;0
0,5;-1;1;1;6;52;0,499;-1;6,0;0;0;0;0;0;0
1,0;-1;1;2;0;56;0,499;-1;6,0;0;0;0;0;0;0
1,5;-1;1;2;6;59;0,999;-1;12,0;0;0;0;0;0;0
2,5;-1;2;1;6;52;0,499;-1;6,0;0;0;0;0;0;0
3,0;-1;2;2;0;51;0,499;-1;6,0;0;0;0;0;0;0
3,5;-1;2;2;6;59;0,999;-1;12,0;0;0;0;0;0;0
4,5;-1;3;1;6;51;0,499;-1;6,0;0;0;0;0;0;0
5,0;-1;3;2;0;49;0,499;-1;6,0;0;0;0;0;0;0
5,5;-1;3;2;6;57;0,499;-1;6,0;0;0;0;0;0;0
6,0;-1;4;1;0;56;0,3323;-1;4,0;0;0;0;0;0;0
6,3333;-1;4;1;4;54;0,3323;-1;4,0;0;0;0;0;0;0
6,6667;-1;4;1;8;52;0,3323;-1;4,0;0;0;0;0;0;0
7,0;-1;4;2;0;54;0,499;-1;6,0;0;0;0;0;0;0
7,5;-1;4;2;6;47;0,499;-1;6,0;0;0;0;0;0;0
8,0;-1;5;1;0;49;0,499;-1;6,0;0;0;0;0;0;0
8,5;-1;5;1;6;51;0,499;-1;6,0;0;0;0;0;0;0
9,0;-1;5;2;0;57;0,499;-1;6,0;0;0;0;0;0;0
9,5;-1;5;2;6;61;0,999;-1;12,0;0;0;0;0;0;0
10,5;-1;6;1;6;57;0,499;-1;6,0;0;0;0;0;0;0
11,0;-1;6;2;0;54;0,499;-1;6,0;0;0;0;0;0;0
11,5;-1;6;2;6;59;0,999;-1;12,0;0;0;0;0;0;0
12,5;-1;7;1;6;57;0,499;-1;6,0;0;0;0;0;0;0
13,0;-1;7;2;0;56;0,3323;-1;4,0;0;0;0;0;0;0
13,3333;-1;7;2;4;54;0,3323;-1;4,0;0;0;0;0;0;0
13,6667;-1;7;2;8;52;0,3323;-1;4,0;0;0;0;0;0;0
14,0;-1;8;1;0;54;0,499;-1;6,0;0;0;0;0;0;0
14,5;-1;8;1;6;47;0,499;-1;6,0;0;0;0;0;0;0
15,0;-1;8;2;0;59;0,499;-1;6,0;0;0;0;0;0;0
15,75;-1;8;2;9;47;0,249;-1;3,0;0;0;0;0;0;0
16,0;-1;9;1;0;61;0,3323;-1;4,0;0;0;0;0;0;0
16,3333;-1;9;1;4;57;0,3323;-1;4,0;0;0;0;0;0;0
16,6667;-1;9;1;8;56;0,3323;-1;4,0;0;0;0;0;0;0
17,0;-1;9;2;0;54;0,499;-1;6,0;0;0;0;0;0;0
17,5;-1;9;2;6;52;0,499;-1;6,0;0;0;0;0;0;0
18,0;-1;10;1;0;54;0,499;-1;6,0;0;0;0;0;0;0
18,5;-1;10;1;6;47;0,499;-1;6,0;0;0;0;0;0;0
19,0;-1;10;2;0;52;0,999;-1;12,0;0;0;0;0;1;0
