Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;52;0,499;-1;2,0;0;0;0;0;0;0
1,0;-1;1;3;0;55;0,499;-1;2,0;0;0;0;0;0;0
1,75;-1;1;4;1;52;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;0;53;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;1;55;0,249;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;57;0,249;-1;1,0;0;0;0;0;0;0
2,75;-1;2;2;1;59;0,249;-1;1,0;0;0;0;0;0;0
3,0;-1;2;3;0;60;0,499;-1;2,0;0;0;0;0;0;0
4,0;-1;3;1;0;52;0,499;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;55;0,499;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;1;52;0,249;-1;1,0;0;0;0;0;0;0
6,0;-1;4;1;0;50;0,249;-1;1,0;0;0;0;0;0;0
6,25;-1;4;1;1;48;0,249;-1;1,0;0;0;0;0;0;0
6,5;-1;4;2;0;47;0,249;-1;1,0;0;0;0;0;0;0
6,75;-1;4;2;1;48;0,249;-1;1,0;0;0;0;0;0;0
7,0;-1;4;3;0;50;0,499;-1;2,0;0;0;0;0;0;0
8,0;-1;5;1;0;55;0,499;-1;2,0;0;0;0;0;0;0
9,0;-1;5;3;0;52;0,499;-1;2,0;0;0;0;0;0;0
9,75;-1;5;4;1;48;0,249;-1;1,0;0;0;0;0;0;0
10,0;-1;6;1;0;50;0,249;-1;1,0;0;0;0;0;0;0
10,25;-1;6;1;1;52;0,249;-1;1,0;0;0;0;0;0;0
10,5;-1;6;2;0;53;0,249;-1;1,0;0;0;0;0;0;0
10,75;-1;6;2;1;55;0,249;-1;1,0;0;0;0;0;0;0
11,0;-1;6;3;0;57;0,499;-1;2,0;0;0;0;0;0;0
12,0;-1;7;1;0;55;0,999;-1;4,0;0;0;0;0;0;0
13,0;-1;7;3;0;53;0,499;-1;2,0;0;0;0;0;0;0
13,5;-1;7;4;0;52;0,499;-1;2,0;0;0;0;0;0;0
14,0;-1;8;1;0;50;0,249;-1;1,0;0;0;0;0;0;0
14,25;-1;8;1;1;48;0,249;-1;1,0;0;0;0;0;0;0
14,5;-1;8;2;0;50;0,249;-1;1,0;0;0;0;0;0;0
14,75;-1;8;2;1;52;0,249;-1;1,0;0;0;0;0;0;0
15,0;-1;8;3;0;48;0,499;-1;2,0;0;0;0;0;1;0
