Signature: 3/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;66;0,499;-1;4,0;0;0;0;0;0;0
0,5;-1;1;2;0;59;0,499;-1;4,0;0;0;0;0;0;0
1,25;-1;1;3;2;66;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;2;1;0;67;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;2;2;0;59;0,499;-1;4,0;0;0;0;0;0;0
2,75;-1;2;3;2;67;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;66;0,499;-1;4,0;0;0;0;0;0;0
3,5;-1;3;2;0;64;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;3;2;2;62;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;3;3;0;61;0,374;-1;3,0;0;0;0;0;0;0
4,375;-1;3;3;3;59;0,124;-1;1,0;0;0;0;0;0;0
4,5;-1;4;1;0;58;0,499;-1;4,0;0;0;0;0;0;0
5,0;-1;4;2;0;61;0,499;-1;4,0;0;0;0;0;0;0
5,5;-1;4;3;0;54;0,499;-1;4,0;0;0;0;0;0;0
6,0;-1;5;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
6,5;-1;5;2;0;66;0,499;-1;4,0;0;0;0;0;0;0
7,25;-1;5;3;2;58;0,249;-1;2,0;0;0;0;0;0;0
7,5;-1;6;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
8,0;-1;6;2;0;67;0,499;-1;4,0;0;0;0;0;0;0
9,0;-1;7;1;0;66;0,374;-1;3,0;0;0;0;0;0;0
9,375;-1;7;1;3;64;0,124;-1;1,0;0;0;0;0;0;0
9,5;-1;7;2;0;62;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;7;2;2;61;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;7;3;0;59;0,249;-1;2,0;0;0;0;0;0;0
10,25;-1;7;3;2;58;0,249;-1;2,0;0;0;0;0;0;0
10,5;-1;8;1;0;59;1,499;-1;12,0;0;0;0;0;1;0
