Signature: 12/8, Ticks per Beat: 12
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;72;0,749;-1;12,0;0;0;0;0;0;0
0,75;-1;1;2;0;71;0,624;-1;10,0;0;0;0;0;0;0
1,375;-1;1;2;10;72;0,124;-1;2,0;0;0;0;0;0;0
1,5;-1;1;3;0;75;0,749;-1;12,0;0;0;0;0;0;0
2,25;-1;1;4;0;73;0,749;-1;12,0;0;0;0;0;0;0
3,0;-1;2;1;0;67;0,499;-1;8,0;0;0;0;0;0;0
3,5;-1;2;1;8;68;0,0615;-1;1,0;0;0;0;0;0;0
3,5625;-1;2;1;9;67;0,0615;-1;1,0;0;0;0;0;0;0
3,625;-1;2;1;10;65;0,0615;-1;1,0;0;0;0;0;0;0
3,6875;-1;2;1;11;67;0,0615;-1;1,0;0;0;0;0;0;0
3,75;-1;2;2;0;68;0,624;-1;10,0;0;0;0;0;0;0
4,375;-1;2;2;10;65;0,124;-1;2,0;0;0;0;0;0;0
4,5;-1;2;3;0;65;0,749;-1;12,0;0;0;0;0;0;0
5,25;-1;2;4;0;63;0,499;-1;8,0;0;0;0;0;0;0
6,0;-1;3;1;0;63;0,749;-1;12,0;0;0;0;0;0;0
6,75;-1;3;2;0;68;0,624;-1;10,0;0;0;0;0;0;0
7,375;-1;3;2;10;72;0,124;-1;2,0;0;0;0;0;0;0
7,5;-1;3;3;0;77;0,499;-1;8,0;0;0;0;0;0;0
8,0;-1;3;3;8;76;0,249;-1;4,0;0;0;0;0;0;0
8,25;-1;3;4;0;75;0,249;-1;4,0;0;0;0;0;0;0
8,5;-1;3;4;4;73;0,249;-1;4,0;0;0;0;0;0;0
8,75;-1;3;4;8;72;0,249;-1;4,0;0;0;0;0;0;0
9,0;-1;4;1;0;70;0,499;-1;8,0;0;0;0;0;0;0
9,5;-1;4;1;8;72;0,0615;-1;1,0;0;0;0;0;0;0
9,5625;-1;4;1;9;70;0,0615;-1;1,0;0;0;0;0;0;0
9,625;-1;4;1;10;69;0,0615;-1;1,0;0;0;0;0;0;0
9,6875;-1;4;1;11;70;0,0615;-1;1,0;0;0;0;0;0;0
9,75;-1;4;2;0;73;0,624;-1;10,0;0;0;0;0;0;0
10,375;-1;4;2;10;72;0,124;-1;2,0;0;0;0;0;0;0
10,5;-1;4;3;0;70;0,749;-1;12,0;0;0;0;0;0;0
11,25;-1;4;4;0;68;0,499;-1;8,0;0;0;0;0;0;0
12,0;-1;5;1;0;64;0,499;-1;8,0;0;0;0;0;0;0
12,5;-1;5;1;8;63;0,499;-1;8,0;0;0;0;0;0;0
13,0;-1;5;2;4;68;0,249;-1;4,0;0;0;0;0;0;0
13,25;-1;5;2;8;72;0,249;-1;4,0;0;0;0;0;0;0
13,5;-1;5;3;0;77;0,249;-1;4,0;0;0;0;0;0;0
13,75;-1;5;3;4;75;0,249;-1;4,0;0;0;0;0;0;0
14,0;-1;5;3;8;73;0,249;-1;4,0;0;0;0;0;0;0
14,25;-1;5;4;0;72;0,249;-1;4,0;0;0;0;0;0;0
