Signature: 4/4, Ticks per Beat: 12
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,75;-1;0;4;6;49;0,249;-1;6,0;0;0;0;0;0;0
2,0;-1;1;1;0;61;0,1656;-1;4,0;0;0;0;0;0;0
2,1667;-1;1;1;4;57;0,1656;-1;4,0;0;0;0;0;0;0
2,3333;-1;1;1;8;54;0,1656;-1;4,0;0;0;0;0;0;0
2,5;-1;1;2;0;53;0,249;-1;6,0;0;0;0;0;0;0
2,75;-1;1;2;6;56;0,249;-1;6,0;0;0;0;0;0;0
3,0;-1;1;3;0;59;0,249;-1;6,0;0;0;0;0;0;0
3,25;-1;1;3;6;62;0,249;-1;6,0;0;0;0;0;0;0
3,5;-1;1;4;0;61;0,249;-1;6,0;0;0;0;0;0;0
3,875;-1;1;4;9;61;0,124;-1;3,0;0;0;0;0;0;0
4,0;-1;2;1;0;59;0,1656;-1;4,0;0;0;0;0;0;0
4,1667;-1;2;1;4;56;0,1656;-1;4,0;0;0;0;0;0;0
4,3333;-1;2;1;8;52;0,1656;-1;4,0;0;0;0;0;0;0
4,5;-1;2;2;0;51;0,249;-1;6,0;0;0;0;0;0;0
4,75;-1;2;2;6;54;0,249;-1;6,0;0;0;0;0;0;0
5,0;-1;2;3;0;57;0,249;-1;6,0;0;0;0;0;0;0
5,25;-1;2;3;6;60;0,249;-1;6,0;0;0;0;0;0;0
5,5;-1;2;4;0;59;0,249;-1;6,0;0;0;0;0;0;0
5,875;-1;2;4;9;56;0,124;-1;3,0;0;0;0;0;0;0
6,0;-1;3;1;0;57;0,249;-1;6,0;0;0;0;0;0;0
6,25;-1;3;1;6;54;0,249;-1;6,0;0;0;0;0;0;0
6,5;-1;3;2;0;51;0,249;-1;6,0;0;0;0;0;0;0
6,75;-1;3;2;6;48;0,249;-1;6,0;0;0;0;0;0;0
7,0;-1;3;3;0;47;0,249;-1;6,0;0;0;0;0;0;0
7,25;-1;3;3;6;57;0,249;-1;6,0;0;0;0;0;0;0
7,5;-1;3;4;0;56;0,1656;-1;4,0;0;0;0;0;0;0
7,6667;-1;3;4;4;52;0,1656;-1;4,0;0;0;0;0;0;0
7,8333;-1;3;4;8;53;0,1656;-1;4,0;0;0;0;0;0;0
8,0;-1;4;1;0;54;0,6656;-1;16,0;0;0;0;0;0;0
8,6667;-1;4;2;4;54;0,1656;-1;4,0;0;0;0;0;0;0
8,8333;-1;4;2;8;55;0,1656;-1;4,0;0;0;0;0;0;0
9,0;-1;4;3;0;56;0,499;-1;12,0;0;0;0;0;0;0
9,6667;-1;4;4;4;52;0,1656;-1;4,0;0;0;0;0;0;0
9,8333;-1;4;4;8;50;0,1656;-1;4,0;0;0;0;0;0;0
10,0;-1;5;1;0;49;0,249;-1;6,0;0;0;0;0;0;0
10,25;-1;5;1;6;53;0,249;-1;6,0;0;0;0;0;0;0
10,5;-1;5;2;0;56;0,249;-1;6,0;0;0;0;0;0;0
10,75;-1;5;2;6;59;0,249;-1;6,0;0;0;0;0;0;0
11,0;-1;5;3;0;63;0,1656;-1;4,0;0;0;0;0;0;0
11,1667;-1;5;3;4;61;0,1656;-1;4,0;0;0;0;0;0;0
11,3333;-1;5;3;8;60;0,1656;-1;4,0;0;0;0;0;0;0
11,5;-1;5;4;0;61;0,249;-1;6,0;0;0;0;0;0;0
11,875;-1;5;4;9;49;0,124;-1;3,0;0;0;0;0;0;0
12,0;-1;6;1;0;47;0,249;-1;6,0;0;0;0;0;0;0
12,25;-1;6;1;6;51;0,249;-1;6,0;0;0;0;0;0;0
12,5;-1;6;2;0;54;0,249;-1;6,0;0;0;0;0;0;0
12,75;-1;6;2;6;57;0,249;-1;6,0;0;0;0;0;0;0
13,0;-1;6;3;0;60;0,1656;-1;4,0;0;0;0;0;0;0
13,1667;-1;6;3;4;59;0,1656;-1;4,0;0;0;0;0;0;0
13,3333;-1;6;3;8;58;0,1656;-1;4,0;0;0;0;0;0;0
13,5;-1;6;4;0;59;0,249;-1;6,0;0;0;0;0;0;0
13,75;-1;6;4;6;46;0,249;-1;6,0;0;0;0;0;0;0
14,0;-1;7;1;0;47;0,249;-1;6,0;0;0;0;0;0;0
14,25;-1;7;1;6;57;0,499;-1;12,0;0;0;0;0;0;0
14,75;-1;7;2;6;56;0,4156;-1;10,0;0;0;0;0;0;0
15,1667;-1;7;3;4;53;0,1656;-1;4,0;0;0;0;0;0;0
15,3333;-1;7;3;8;56;0,1656;-1;4,0;0;0;0;0;0;0
15,5;-1;7;4;0;54;0,499;-1;12,0;0;0;0;0;0;0
16,0;-1;8;1;0;48;0,249;-1;6,0;0;0;0;0;0;0
16,25;-1;8;1;6;47;0,249;-1;6,0;0;0;0;0;0;0
16,5;-1;8;2;0;47;0,1656;-1;4,0;0;0;0;0;0;0
16,6667;-1;8;2;4;49;0,1656;-1;4,0;0;0;0;0;0;0
16,8333;-1;8;2;8;51;0,1656;-1;4,0;0;0;0;0;0;0
17,0;-1;8;3;0;54;0,499;-1;12,0;0;0;0;0;0;0
17,5;-1;8;4;0;52;0,249;-1;6,0;0;0;0;0;1;0
