Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;51;0,249;-1;2,0;0;0;0;0;0;0
0,25;-1;1;1;2;56;0,124;-1;1,0;0;0;0;0;0;0
0,375;-1;1;1;3;55;0,124;-1;1,0;0;0;0;0;0;0
0,5;-1;1;2;0;56;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;1;2;2;58;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;1;3;0;60;0,249;-1;2,0;0;0;0;0;0;0
1,25;-1;1;3;2;61;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;1;4;0;63;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;2;1;0;61;0,124;-1;1,0;0;0;0;0;0;0
2,125;-1;2;1;1;60;0,124;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;2;58;0,124;-1;1,0;0;0;0;0;0;0
2,375;-1;2;1;3;56;0,124;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;55;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;2;2;2;56;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;2;3;0;58;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;2;3;2;60;0,249;-1;2,0;0;0;0;0;0;0
3,5;-1;2;4;0;58;0,499;-1;4,0;0;0;0;0;0;0
4,0;-1;3;1;0;56;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;3;1;2;60;0,124;-1;1,0;0;0;0;0;0;0
4,375;-1;3;1;3;58;0,124;-1;1,0;0;0;0;0;0;0
4,5;-1;3;2;0;60;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;3;2;2;51;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;56;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;3;3;2;58;0,124;-1;1,0;0;0;0;0;0;0
5,375;-1;3;3;3;60;0,124;-1;1,0;0;0;0;0;0;0
5,5;-1;3;4;0;61;0,499;-1;4,0;0;0;0;0;0;0
6,0;-1;4;1;0;63;0,124;-1;1,0;0;0;0;0;0;0
6,125;-1;4;1;1;61;0,124;-1;1,0;0;0;0;0;0;0
6,25;-1;4;1;2;60;0,124;-1;1,0;0;0;0;0;0;0
6,375;-1;4;1;3;58;0,124;-1;1,0;0;0;0;0;0;0
6,5;-1;4;2;0;56;0,124;-1;1,0;0;0;0;0;0;0
6,625;-1;4;2;1;55;0,124;-1;1,0;0;0;0;0;0;0
6,75;-1;4;2;2;53;0,124;-1;1,0;0;0;0;0;0;0
6,875;-1;4;2;3;51;0,124;-1;1,0;0;0;0;0;0;0
7,0;-1;4;3;0;60;0,249;-1;2,0;0;0;0;0;0;0
7,25;-1;4;3;2;58;0,124;-1;1,0;0;0;0;0;0;0
7,375;-1;4;3;3;60;0,124;-1;1,0;0;0;0;0;0;0
7,5;-1;4;4;0;56;0,499;-1;4,0;0;0;0;0;1;0
