Signature: 6/8, Ticks per Beat: 6
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;62;0,249;-1;2,0;0;0;0;0;0;0
0,25;-1;1;1;2;61;0,249;-1;2,0;0;0;0;0;0;0
0,5;-1;1;1;4;62;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;1;2;0;64;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;1;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
1,25;-1;1;2;4;67;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;2;1;0;68;0,249;-1;2,0;0;0;0;0;0;0
1,75;-1;2;1;2;70;0,374;-1;3,0;0;0;0;0;0;0
2,125;-1;2;1;5;68;0,124;-1;1,0;0;0;0;0;0;0
2,25;-1;2;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
2,5;-1;2;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;2;2;4;64;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;62;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;3;1;2;61;0,249;-1;2,0;0;0;0;0;0;0
3,5;-1;3;1;4;62;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;3;2;0;64;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;3;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;3;2;4;67;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;4;1;0;68;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;4;1;2;70;0,374;-1;3,0;0;0;0;0;0;0
5,125;-1;4;1;5;71;0,124;-1;1,0;0;0;0;0;0;0
5,25;-1;4;2;0;73;0,499;-1;4,0;0;0;0;0;0;0
6,0;-1;5;1;0;71;0,374;-1;3,0;0;0;0;0;0;0
6,375;-1;5;1;3;70;0,124;-1;1,0;0;0;0;0;0;0
6,5;-1;5;1;4;68;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;5;2;0;67;0,499;-1;4,0;0;0;0;0;0;0
7,5;-1;6;1;0;68;0,374;-1;3,0;0;0;0;0;0;0
7,875;-1;6;1;3;67;0,124;-1;1,0;0;0;0;0;0;0
8,0;-1;6;1;4;65;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;6;2;0;64;0,499;-1;4,0;0;0;0;0;0;0
9,0;-1;7;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
9,25;-1;7;1;2;64;0,249;-1;2,0;0;0;0;0;0;0
9,5;-1;7;1;4;65;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;7;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;7;2;2;68;0,249;-1;2,0;0;0;0;0;0;0
10,25;-1;7;2;4;70;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;9;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
12,25;-1;9;1;2;67;0,249;-1;2,0;0;0;0;0;0;0
12,5;-1;9;1;4;68;0,249;-1;2,0;0;0;0;0;0;0
12,75;-1;9;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
13,0;-1;9;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
13,25;-1;9;2;4;64;0,249;-1;2,0;0;0;0;0;0;0
15,0;-1;11;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
15,25;-1;11;1;2;67;0,374;-1;3,0;0;0;0;0;0;0
15,625;-1;11;1;5;68;0,124;-1;1,0;0;0;0;0;0;0
15,75;-1;11;2;0;67;0,249;-1;2,0;0;0;0;0;0;0
16,0;-1;11;2;2;65;0,249;-1;2,0;0;0;0;0;0;0
16,25;-1;11;2;4;64;0,249;-1;2,0;0;0;0;0;0;0
16,5;-1;12;1;0;62;0,749;-1;6,0;0;0;0;0;1;0
