Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,75;-1;0;4;2;51;0,124;-1;1,0;0;0;0;0;0;0
1,875;-1;0;4;3;53;0,124;-1;1,0;0;0;0;0;0;0
2,0;-1;1;1;0;55;0,249;-1;2,0;0;0;0;0;0;0
2,25;-1;1;1;2;51;0,249;-1;2,0;0;0;0;0;0;0
2,5;-1;1;2;0;47;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;1;2;2;50;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;1;3;0;48;0,749;-1;6,0;0;0;0;0;0;0
3,75;-1;1;4;2;55;0,124;-1;1,0;0;0;0;0;0;0
3,875;-1;1;4;3;58;0,124;-1;1,0;0;0;0;0;0;0
4,0;-1;2;1;0;56;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;2;1;2;53;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;2;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;2;2;2;55;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;2;3;0;53;0,749;-1;6,0;0;0;0;0;0;0
5,75;-1;2;4;2;56;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;3;1;0;55;0,249;-1;2,0;0;0;0;0;0;0
6,25;-1;3;1;2;50;0,249;-1;2,0;0;0;0;0;0;0
6,5;-1;3;2;0;53;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;3;2;2;51;0,124;-1;1,0;0;0;0;0;0;0
6,875;-1;3;2;3;50;0,124;-1;1,0;0;0;0;0;0;0
7,0;-1;3;3;0;48;0,124;-1;1,0;0;0;0;0;0;0
7,125;-1;3;3;1;50;0,124;-1;1,0;0;0;0;0;0;0
7,25;-1;3;3;2;53;0,124;-1;1,0;0;0;0;0;0;0
7,375;-1;3;3;3;58;0,124;-1;1,0;0;0;0;0;0;0
7,5;-1;3;4;0;55;0,249;-1;2,0;0;0;0;0;0;0
7,75;-1;3;4;2;51;0,124;-1;1,0;0;0;0;0;0;0
7,875;-1;3;4;3;53;0,124;-1;1,0;0;0;0;0;0;0
8,0;-1;4;1;0;55;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;4;1;2;48;0,249;-1;2,0;0;0;0;0;0;0
8,5;-1;4;2;0;50;0,249;-1;2,0;0;0;0;0;0;0
8,75;-1;4;2;2;47;0,249;-1;2,0;0;0;0;0;0;0
9,0;-1;4;3;0;56;0,249;-1;2,0;0;0;0;0;0;0
9,25;-1;4;3;2;53;0,249;-1;2,0;0;0;0;0;0;0
9,5;-1;4;4;0;55;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;4;4;2;48;0,124;-1;1,0;0;0;0;0;0;0
9,875;-1;4;4;3;50;0,124;-1;1,0;0;0;0;0;0;0
10,0;-1;5;1;0;51;0,249;-1;2,0;0;0;0;0;0;0
10,25;-1;5;1;2;48;0,249;-1;2,0;0;0;0;0;0;0
10,5;-1;5;2;0;50;0,249;-1;2,0;0;0;0;0;0;0
10,75;-1;5;2;2;47;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;6;1;0;48;0,249;-1;2,0;0;0;0;0;1;0
