Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,5;-1;0;4;0;52;0,374;-1;3,0;0;0;0;0;0;0
1,875;-1;0;4;3;49;0,124;-1;1,0;0;0;0;0;0;0
2,0;-1;1;1;0;45;0,499;-1;4,0;0;0;0;0;0;0
3,5;-1;1;4;0;57;0,499;-1;4,0;0;0;0;0;0;0
4,0;-1;2;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
4,5;-1;2;2;0;57;0,499;-1;4,0;0;0;0;0;0;0
5,5;-1;2;4;0;52;0,374;-1;3,0;0;0;0;0;0;0
5,875;-1;2;4;3;50;0,124;-1;1,0;0;0;0;0;0;0
6,0;-1;3;1;0;47;0,499;-1;4,0;0;0;0;0;0;0
7,5;-1;3;4;0;59;0,499;-1;4,0;0;0;0;0;0;0
8,0;-1;4;1;0;61;0,499;-1;4,0;0;0;0;0;0;0
8,5;-1;4;2;0;59;0,499;-1;4,0;0;0;0;0;0;0
9,5;-1;4;4;0;52;0,374;-1;3,0;0;0;0;0;0;0
9,875;-1;4;4;3;49;0,124;-1;1,0;0;0;0;0;0;0
10,0;-1;5;1;0;57;0,499;-1;4,0;0;0;0;0;0;0
11,5;-1;5;4;0;54;0,374;-1;3,0;0;0;0;0;0;0
11,875;-1;5;4;3;50;0,124;-1;1,0;0;0;0;0;0;0
12,0;-1;6;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
13,5;-1;6;4;0;56;0,374;-1;3,0;0;0;0;0;0;0
13,875;-1;6;4;3;52;0,124;-1;1,0;0;0;0;0;0;0
14,0;-1;7;1;0;62;0,499;-1;4,0;0;0;0;0;0;0
15,5;-1;7;4;0;61;0,249;-1;2,0;0;0;0;0;0;0
15,75;-1;7;4;2;59;0,249;-1;2,0;0;0;0;0;0;0
16,0;-1;8;1;0;57;0,249;-1;2,0;0;0;0;0;0;0
16,25;-1;8;1;2;56;0,249;-1;2,0;0;0;0;0;0;0
16,5;-1;8;2;0;54;0,249;-1;2,0;0;0;0;0;0;0
16,75;-1;8;2;2;52;0,249;-1;2,0;0;0;0;0;0;0
17,0;-1;8;3;0;51;0,249;-1;2,0;0;0;0;0;0;0
17,25;-1;8;3;2;52;0,249;-1;2,0;0;0;0;0;0;0
17,5;-1;8;4;0;54;0,249;-1;2,0;0;0;0;0;0;0
17,75;-1;8;4;2;56;0,249;-1;2,0;0;0;0;0;0;0
18,0;-1;9;1;0;57;0,499;-1;4,0;0;0;0;0;0;0
19,5;-1;9;4;0;45;0,499;-1;4,0;0;0;0;0;0;0
20,0;-1;10;1;0;47;0,499;-1;4,0;0;0;0;0;0;0
20,5;-1;10;2;0;45;0,499;-1;4,0;0;0;0;0;0;0
21,5;-1;10;4;0;57;0,374;-1;3,0;0;0;0;0;0;0
21,875;-1;10;4;3;61;0,124;-1;1,0;0;0;0;0;0;0
22,0;-1;11;1;0;59;0,499;-1;4,0;0;0;0;0;0;0
23,5;-1;11;4;0;47;0,499;-1;4,0;0;0;0;0;0;0
24,0;-1;12;1;0;49;0,499;-1;4,0;0;0;0;0;0;0
24,5;-1;12;2;0;47;0,499;-1;4,0;0;0;0;0;0;0
25,5;-1;12;4;0;56;0,374;-1;3,0;0;0;0;0;0;0
25,875;-1;12;4;3;59;0,124;-1;1,0;0;0;0;0;0;0
26,0;-1;13;1;0;62;0,499;-1;4,0;0;0;0;0;0;0
27,5;-1;13;4;0;52;0,249;-1;2,0;0;0;0;0;0;0
27,75;-1;13;4;2;54;0,249;-1;2,0;0;0;0;0;0;0
28,0;-1;14;1;0;56;0,249;-1;2,0;0;0;0;0;0;0
28,25;-1;14;1;2;57;0,249;-1;2,0;0;0;0;0;0;0
28,5;-1;14;2;0;59;0,249;-1;2,0;0;0;0;0;0;0
28,75;-1;14;2;2;61;0,249;-1;2,0;0;0;0;0;0;0
29,0;-1;14;3;0;64;0,249;-1;2,0;0;0;0;0;0;0
29,25;-1;14;3;2;62;0,249;-1;2,0;0;0;0;0;0;0
29,5;-1;14;4;0;59;0,249;-1;2,0;0;0;0;0;0;0
29,75;-1;14;4;2;61;0,249;-1;2,0;0;0;0;0;0;0
30,0;-1;15;1;0;57;0,499;-1;4,0;0;0;0;0;0;0
31,5;-1;15;4;0;49;0,374;-1;3,0;0;0;0;0;0;0
31,875;-1;15;4;3;52;0,124;-1;1,0;0;0;0;0;0;0
32,0;-1;16;1;0;45;0,499;-1;4,0;0;0;0;0;1;0
