Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;58;0,499;-1;2,0;0;0;0;0;0;0
0,5;-1;1;2;0;57;0,499;-1;2,0;0;0;0;0;0;0
1,0;-1;1;3;0;55;0,499;-1;2,0;0;0;0;0;0;0
1,5;-1;1;4;0;53;0,499;-1;2,0;0;0;0;0;0;0
2,0;-1;2;1;0;55;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;1;53;0,249;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;51;0,249;-1;1,0;0;0;0;0;0;0
2,75;-1;2;2;1;50;0,249;-1;1,0;0;0;0;0;0;0
3,0;-1;2;3;0;48;0,999;-1;4,0;0;0;0;0;0;0
4,0;-1;3;1;0;46;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;3;2;0;48;0,499;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;50;0,499;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;51;0,499;-1;2,0;0;0;0;0;0;0
6,0;-1;4;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
6,5;-1;4;2;0;55;0,249;-1;1,0;0;0;0;0;0;0
6,75;-1;4;2;1;57;0,249;-1;1,0;0;0;0;0;0;0
7,0;-1;4;3;0;58;0,999;-1;4,0;0;0;0;0;1;0
