Signature: 2/2, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,5;-1;0;2;2;57;0,499;-1;2,0;0;0;0;0;0;0
2,0;-1;1;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
2,5;-1;1;1;2;50;0,499;-1;2,0;0;0;0;0;0;0
3,0;-1;1;2;0;52;0,499;-1;2,0;0;0;0;0;0;0
3,5;-1;1;2;2;49;0,499;-1;2,0;0;0;0;0;0;0
4,0;-1;2;1;0;50;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;2;1;2;50;0,499;-1;2,0;0;0;0;0;0;0
5,0;-1;2;2;0;50;0,499;-1;2,0;0;0;0;0;0;0
5,5;-1;2;2;2;57;0,499;-1;2,0;0;0;0;0;0;0
6,0;-1;3;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
6,5;-1;3;1;2;50;0,499;-1;2,0;0;0;0;0;0;0
7,0;-1;3;2;0;52;0,499;-1;2,0;0;0;0;0;0;0
7,5;-1;3;2;2;49;0,499;-1;2,0;0;0;0;0;0;0
8,0;-1;4;1;0;50;0,999;-1;4,0;0;0;0;0;0;0
9,5;-1;4;2;2;57;0,499;-1;2,0;0;0;0;0;0;0
10,0;-1;5;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
10,5;-1;5;1;2;50;0,499;-1;2,0;0;0;0;0;0;0
11,0;-1;5;2;0;52;0,499;-1;2,0;0;0;0;0;0;0
11,5;-1;5;2;2;50;0,249;-1;1,0;0;0;0;0;0;0
11,75;-1;5;2;3;49;0,249;-1;1,0;0;0;0;0;0;0
12,0;-1;6;1;0;50;0,499;-1;2,0;0;0;0;0;0;0
12,5;-1;6;1;2;50;0,499;-1;2,0;0;0;0;0;0;0
13,0;-1;6;2;0;50;0,499;-1;2,0;0;0;0;0;0;0
13,5;-1;6;2;2;57;0,499;-1;2,0;0;0;0;0;0;0
14,0;-1;7;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
14,5;-1;7;1;2;52;0,249;-1;1,0;0;0;0;0;0;0
14,75;-1;7;1;3;50;0,249;-1;1,0;0;0;0;0;0;0
15,0;-1;7;2;0;50;0,499;-1;2,0;0;0;0;0;0;0
15,5;-1;7;2;2;49;0,499;-1;2,0;0;0;0;0;0;0
16,0;-1;8;1;0;50;0,999;-1;4,0;0;0;0;0;0;0
17,5;-1;8;2;2;57;0,499;-1;2,0;0;0;0;0;0;0
18,0;-1;9;1;0;62;0,499;-1;2,0;0;0;0;0;0;0
18,5;-1;9;1;2;62;0,499;-1;2,0;0;0;0;0;0;0
19,0;-1;9;2;0;62;0,249;-1;1,0;0;0;0;0;0;0
19,25;-1;9;2;1;60;0,249;-1;1,0;0;0;0;0;0;0
19,5;-1;9;2;2;58;0,249;-1;1,0;0;0;0;0;0;0
19,75;-1;9;2;3;57;0,249;-1;1,0;0;0;0;0;0;0
20,0;-1;10;1;0;55;0,499;-1;2,0;0;0;0;0;0;0
20,5;-1;10;1;2;55;0,499;-1;2,0;0;0;0;0;0;0
21,0;-1;10;2;0;55;0,499;-1;2,0;0;0;0;0;0;0
21,5;-1;10;2;2;57;0,249;-1;1,0;0;0;0;0;0;0
21,75;-1;10;2;3;58;0,249;-1;1,0;0;0;0;0;0;0
22,0;-1;11;1;0;60;0,499;-1;2,0;0;0;0;0;0;0
22,5;-1;11;1;2;60;0,499;-1;2,0;0;0;0;0;0;0
23,0;-1;11;2;0;60;0,249;-1;1,0;0;0;0;0;0;0
23,25;-1;11;2;1;58;0,249;-1;1,0;0;0;0;0;0;0
23,5;-1;11;2;2;57;0,249;-1;1,0;0;0;0;0;0;0
23,75;-1;11;2;3;55;0,249;-1;1,0;0;0;0;0;0;0
24,0;-1;12;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
24,5;-1;12;1;2;48;0,499;-1;2,0;0;0;0;0;0;0
25,0;-1;12;2;0;53;0,499;-1;2,0;0;0;0;0;0;0
25,5;-1;12;2;2;55;0,249;-1;1,0;0;0;0;0;0;0
25,75;-1;12;2;3;57;0,249;-1;1,0;0;0;0;0;0;0
26,0;-1;13;1;0;58;0,499;-1;2,0;0;0;0;0;0;0
26,5;-1;13;1;2;58;0,499;-1;2,0;0;0;0;0;0;0
27,0;-1;13;2;0;58;0,249;-1;1,0;0;0;0;0;0;0
27,25;-1;13;2;1;57;0,249;-1;1,0;0;0;0;0;0;0
27,5;-1;13;2;2;55;0,249;-1;1,0;0;0;0;0;0;0
27,75;-1;13;2;3;53;0,249;-1;1,0;0;0;0;0;0;0
28,0;-1;14;1;0;52;0,499;-1;2,0;0;0;0;0;0;0
28,5;-1;14;1;2;52;0,499;-1;2,0;0;0;0;0;0;0
29,0;-1;14;2;0;52;0,499;-1;2,0;0;0;0;0;0;0
