Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;69;0,249;-1;2,0;0;0;0;0;0;0
0,25;-1;1;1;2;69;0,124;-1;1,0;0;0;0;0;0;0
0,375;-1;1;1;3;67;0,124;-1;1,0;0;0;0;0;0;0
0,5;-1;1;2;0;69;0,124;-1;1,0;0;0;0;0;0;0
0,625;-1;1;2;1;70;0,124;-1;1,0;0;0;0;0;0;0
0,75;-1;1;2;2;69;0,124;-1;1,0;0;0;0;0;0;0
0,875;-1;1;2;3;67;0,124;-1;1,0;0;0;0;0;0;0
1,0;-1;1;3;0;65;0,249;-1;2,0;0;0;0;0;0;0
1,25;-1;1;3;2;60;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;1;4;0;60;0,249;-1;2,0;0;0;0;0;0;0
1,75;-1;1;4;2;60;0,124;-1;1,0;0;0;0;0;0;0
1,875;-1;1;4;3;62;0,124;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;0;63;0,124;-1;1,0;0;0;0;0;0;0
2,125;-1;2;1;1;62;0,124;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;2;63;0,124;-1;1,0;0;0;0;0;0;0
2,375;-1;2;1;3;65;0,124;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;63;0,124;-1;1,0;0;0;0;0;0;0
2,625;-1;2;2;1;62;0,124;-1;1,0;0;0;0;0;0;0
2,75;-1;2;2;2;60;0,124;-1;1,0;0;0;0;0;0;0
2,875;-1;2;2;3;58;0,124;-1;1,0;0;0;0;0;0;0
3,0;-1;2;3;0;60;0,749;-1;6,0;0;0;0;0;0;0
3,75;-1;2;4;2;69;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;3;1;0;69;0,124;-1;1,0;0;0;0;0;0;0
4,125;-1;3;1;1;67;0,124;-1;1,0;0;0;0;0;0;0
4,25;-1;3;1;2;69;0,124;-1;1,0;0;0;0;0;0;0
4,375;-1;3;1;3;70;0,124;-1;1,0;0;0;0;0;0;0
4,5;-1;3;2;0;72;0,124;-1;1,0;0;0;0;0;0;0
4,625;-1;3;2;1;70;0,124;-1;1,0;0;0;0;0;0;0
4,75;-1;3;2;2;69;0,124;-1;1,0;0;0;0;0;0;0
4,875;-1;3;2;3;67;0,124;-1;1,0;0;0;0;0;0;0
5,0;-1;3;3;0;65;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;3;3;2;60;0,249;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;60;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;2;60;0,124;-1;1,0;0;0;0;0;0;0
5,875;-1;3;4;3;62;0,124;-1;1,0;0;0;0;0;0;0
6,0;-1;4;1;0;63;0,124;-1;1,0;0;0;0;0;0;0
6,125;-1;4;1;1;65;0,124;-1;1,0;0;0;0;0;0;0
6,25;-1;4;1;2;67;0,124;-1;1,0;0;0;0;0;0;0
6,375;-1;4;1;3;65;0,124;-1;1,0;0;0;0;0;0;0
6,5;-1;4;2;0;63;0,124;-1;1,0;0;0;0;0;0;0
6,625;-1;4;2;1;62;0,124;-1;1,0;0;0;0;0;0;0
6,75;-1;4;2;2;60;0,124;-1;1,0;0;0;0;0;0;0
6,875;-1;4;2;3;58;0,124;-1;1,0;0;0;0;0;0;0
7,0;-1;4;3;0;60;0,749;-1;6,0;0;0;0;0;0;0
7,75;-1;4;4;2;63;0,249;-1;2,0;0;0;0;0;0;0
8,0;-1;5;1;0;63;0,124;-1;1,0;0;0;0;0;0;0
8,125;-1;5;1;1;62;0,124;-1;1,0;0;0;0;0;0;0
8,25;-1;5;1;2;60;0,124;-1;1,0;0;0;0;0;0;0
8,375;-1;5;1;3;58;0,124;-1;1,0;0;0;0;0;0;0
8,5;-1;5;2;0;60;0,374;-1;3,0;0;0;0;0;0;0
8,875;-1;5;2;3;62;0,124;-1;1,0;0;0;0;0;0;0
9,0;-1;5;3;0;63;0,124;-1;1,0;0;0;0;0;0;0
9,125;-1;5;3;1;62;0,124;-1;1,0;0;0;0;0;0;0
9,25;-1;5;3;2;60;0,124;-1;1,0;0;0;0;0;0;0
9,375;-1;5;3;3;58;0,124;-1;1,0;0;0;0;0;0;0
9,5;-1;5;4;0;60;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;5;4;2;67;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;6;1;0;65;0,749;-1;6,0;0;0;0;0;0;0
10,75;-1;6;2;2;60;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;60;0,749;-1;6,0;0;0;0;0;0;0
11,75;-1;6;4;2;62;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;7;1;0;63;0,249;-1;2,0;0;0;0;0;0;0
12,25;-1;7;1;2;62;0,124;-1;1,0;0;0;0;0;0;0
12,375;-1;7;1;3;60;0,124;-1;1,0;0;0;0;0;0;0
12,5;-1;7;2;0;62;0,249;-1;2,0;0;0;0;0;0;0
12,75;-1;7;2;2;60;0,249;-1;2,0;0;0;0;0;0;0
13,0;-1;7;3;0;58;0,249;-1;2,0;0;0;0;0;0;0
13,25;-1;7;3;2;63;0,249;-1;2,0;0;0;0;0;0;0
13,5;-1;7;4;0;67;0,249;-1;2,0;0;0;0;0;0;0
13,75;-1;7;4;2;63;0,249;-1;2,0;0;0;0;0;0;0
14,0;-1;8;1;0;65;1,999;-1;16,0;0;0;0;0;1;0
