Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;51;0,499;-1;2,0;0;0;0;0;0;0
0,5;-1;1;2;0;55;0,499;-1;2,0;0;0;0;0;0;0
1,0;-1;1;3;0;58;0,999;-1;4,0;0;0;0;0;0;0
2,0;-1;2;1;0;51;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;2;1;1;53;0,249;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;55;0,249;-1;1,0;0;0;0;0;0;0
2,75;-1;2;2;1;56;0,249;-1;1,0;0;0;0;0;0;0
3,0;-1;2;3;0;58;0,999;-1;4,0;0;0;0;0;0;0
4,0;-1;3;1;0;60;0,249;-1;1,0;0;0;0;0;0;0
4,25;-1;3;1;1;58;0,249;-1;1,0;0;0;0;0;0;0
4,5;-1;3;2;0;56;0,249;-1;1,0;0;0;0;0;0;0
4,75;-1;3;2;1;55;0,249;-1;1,0;0;0;0;0;0;0
5,0;-1;3;3;0;53;0,499;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;51;0,249;-1;1,0;0;0;0;0;0;0
5,75;-1;3;4;1;53;0,249;-1;1,0;0;0;0;0;0;0
6,0;-1;4;1;0;55;0,499;-1;2,0;0;0;0;0;0;0
6,5;-1;4;2;0;56;0,499;-1;2,0;0;0;0;0;0;0
7,0;-1;4;3;0;58;0,999;-1;4,0;0;0;0;0;0;0
8,0;-1;5;1;0;60;0,249;-1;1,0;0;0;0;0;0;0
8,25;-1;5;1;1;58;0,249;-1;1,0;0;0;0;0;0;0
8,5;-1;5;2;0;56;0,249;-1;1,0;0;0;0;0;0;0
8,75;-1;5;2;1;55;0,249;-1;1,0;0;0;0;0;0;0
9,0;-1;5;3;0;53;0,499;-1;2,0;0;0;0;0;0;0
9,5;-1;5;4;0;55;0,249;-1;1,0;0;0;0;0;0;0
9,75;-1;5;4;1;56;0,249;-1;1,0;0;0;0;0;0;0
10,0;-1;6;1;0;55;0,499;-1;2,0;0;0;0;0;0;0
10,5;-1;6;2;0;53;0,499;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;51;0,999;-1;4,0;0;0;0;0;1;0
