Signature: 9/8, Ticks per Beat: 6
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;47;0,374;-1;3,0;0;0;0;0;0;0
0,375;-1;1;1;3;50;0,124;-1;1,0;0;0;0;0;0;0
0,5;-1;1;1;4;54;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;1;2;0;59;0,749;-1;6,0;0;0;0;0;0;0
1,5;-1;1;3;0;54;0,749;-1;6,0;0;0;0;0;0;0
2,25;-1;2;1;2;59;0,374;-1;3,0;0;0;0;0;0;0
2,625;-1;2;1;5;57;0,124;-1;1,0;0;0;0;0;0;0
2,75;-1;2;2;0;55;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;2;2;2;59;0,749;-1;6,0;0;0;0;0;0;0
3,75;-1;2;3;2;54;0,749;-1;6,0;0;0;0;0;0;0
4,5;-1;3;1;4;55;0,374;-1;3,0;0;0;0;0;0;0
4,875;-1;3;2;1;54;0,124;-1;1,0;0;0;0;0;0;0
5,0;-1;3;2;2;52;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;3;2;4;54;0,749;-1;6,0;0;0;0;0;0;0
6,0;-1;4;1;0;47;0,499;-1;4,0;0;0;0;0;0;0
6,5;-1;4;1;4;50;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;4;2;0;55;0,374;-1;3,0;0;0;0;0;0;0
7,125;-1;4;2;3;54;0,124;-1;1,0;0;0;0;0;0;0
7,25;-1;4;2;4;52;0,249;-1;2,0;0;0;0;0;0;0
7,5;-1;4;3;0;54;1,499;-1;12,0;0;0;0;0;0;0
9,0;-1;5;2;2;52;0,374;-1;3,0;0;0;0;0;0;0
9,375;-1;5;2;5;55;0,124;-1;1,0;0;0;0;0;0;0
9,5;-1;5;3;0;59;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;5;3;2;61;0,749;-1;6,0;0;0;0;0;0;0
10,5;-1;6;1;4;59;0,749;-1;6,0;0;0;0;0;0;0
11,25;-1;6;2;4;50;0,374;-1;3,0;0;0;0;0;0;0
11,625;-1;6;3;1;54;0,124;-1;1,0;0;0;0;0;0;0
11,75;-1;6;3;2;59;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;7;1;0;61;0,749;-1;6,0;0;0;0;0;0;0
12,75;-1;7;2;0;59;0,749;-1;6,0;0;0;0;0;0;0
13,5;-1;7;3;0;58;0,374;-1;3,0;0;0;0;0;0;0
13,875;-1;7;3;3;59;0,124;-1;1,0;0;0;0;0;0;0
14,0;-1;8;1;0;61;0,249;-1;2,0;0;0;0;0;0;0
14,25;-1;8;1;2;54;0,249;-1;2,0;0;0;0;0;0;0
14,5;-1;8;1;4;55;0,249;-1;2,0;0;0;0;0;0;0
14,75;-1;8;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
15,0;-1;8;2;2;50;0,374;-1;3,0;0;0;0;0;0;0
15,375;-1;8;2;5;52;0,124;-1;1,0;0;0;0;0;0;0
15,5;-1;8;3;0;49;0,249;-1;2,0;0;0;0;0;0;0
15,75;-1;8;3;2;47;1,499;-1;12,0;0;0;0;0;1;0
