Signature: 2/4, Ticks per Beat: 12
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;72;0,374;-1;9,0;0;0;0;0;0;0
0,375;-1;1;1;9;71;0,124;-1;3,0;0;0;0;0;0;0
0,5;-1;1;2;0;65;0,374;-1;9,0;0;0;0;0;0;0
0,875;-1;1;2;9;66;0,124;-1;3,0;0;0;0;0;0;0
1,0;-1;2;1;0;72;0,374;-1;9,0;0;0;0;0;0;0
1,375;-1;2;1;9;71;0,124;-1;3,0;0;0;0;0;0;0
1,5;-1;2;2;0;65;0,374;-1;9,0;0;0;0;0;0;0
1,875;-1;2;2;9;66;0,124;-1;3,0;0;0;0;0;0;0
2,0;-1;3;1;0;72;0,374;-1;9,0;0;0;0;0;0;0
2,375;-1;3;1;9;76;0,124;-1;3,0;0;0;0;0;0;0
2,5;-1;3;2;0;75;0,124;-1;3,0;0;0;0;0;0;0
2,75;-1;3;2;6;70;0,124;-1;3,0;0;0;0;0;0;0
3,0;-1;4;1;0;72;0,374;-1;9,0;0;0;0;0;0;0
3,375;-1;4;1;9;71;0,124;-1;3,0;0;0;0;0;0;0
3,5;-1;4;2;0;66;0,499;-1;12,0;0;0;0;0;0;0
4,0;-1;5;1;0;64;0,374;-1;9,0;0;0;0;0;0;0
4,375;-1;5;1;9;70;0,124;-1;3,0;0;0;0;0;0;0
4,5;-1;5;2;0;71;0,374;-1;9,0;0;0;0;0;0;0
4,875;-1;5;2;9;70;0,124;-1;3,0;0;0;0;0;0;0
5,0;-1;6;1;0;64;0,374;-1;9,0;0;0;0;0;0;0
5,375;-1;6;1;9;70;0,124;-1;3,0;0;0;0;0;0;0
5,5;-1;6;2;0;71;0,374;-1;9,0;0;0;0;0;0;0
5,875;-1;6;2;9;70;0,124;-1;3,0;0;0;0;0;0;0
6,0;-1;7;1;0;75;0,1656;-1;4,0;0;0;0;0;0;0
6,1667;-1;7;1;4;74;0,1656;-1;4,0;0;0;0;0;0;0
6,3333;-1;7;1;8;69;0,1656;-1;4,0;0;0;0;0;0;0
6,5;-1;7;2;0;72;0,499;-1;12,0;0;0;0;0;0;0
7,0;-1;8;1;0;73;0,1656;-1;4,0;0;0;0;0;0;0
7,1667;-1;8;1;4;72;0,1656;-1;4,0;0;0;0;0;0;0
7,3333;-1;8;1;8;67;0,1656;-1;4,0;0;0;0;0;0;0
7,5;-1;8;2;0;66;0,499;-1;12,0;0;0;0;0;0;0
8,0;-1;9;1;0;63;0,374;-1;9,0;0;0;0;0;0;0
8,375;-1;9;1;9;64;0,124;-1;3,0;0;0;0;0;0;0
8,5;-1;9;2;0;70;0,374;-1;9,0;0;0;0;0;0;0
8,875;-1;9;2;9;64;0,124;-1;3,0;0;0;0;0;0;0
9,0;-1;10;1;0;63;0,374;-1;9,0;0;0;0;0;0;0
9,375;-1;10;1;9;64;0,124;-1;3,0;0;0;0;0;0;0
9,5;-1;10;2;0;70;0,374;-1;9,0;0;0;0;0;0;0
9,875;-1;10;2;9;63;0,124;-1;3,0;0;0;0;0;0;0
10,0;-1;11;1;0;61;0,374;-1;9,0;0;0;0;0;0;0
10,375;-1;11;1;9;67;0,124;-1;3,0;0;0;0;0;0;0
10,5;-1;11;2;0;71;0,124;-1;3,0;0;0;0;0;0;0
10,75;-1;11;2;6;67;0,124;-1;3,0;0;0;0;0;0;0
11,0;-1;12;1;0;69;0,249;-1;6,0;0;0;0;0;0;0
11,25;-1;12;1;6;68;0,249;-1;6,0;0;0;0;0;0;0
11,5;-1;12;2;0;63;0,499;-1;12,0;0;0;0;0;0;0
12,0;-1;13;1;0;61;0,374;-1;9,0;0;0;0;0;0;0
12,375;-1;13;1;9;63;0,124;-1;3,0;0;0;0;0;0;0
12,5;-1;13;2;0;64;0,374;-1;9,0;0;0;0;0;0;0
12,875;-1;13;2;9;71;0,124;-1;3,0;0;0;0;0;0;0
13,0;-1;14;1;0;67;0,3323;-1;8,0;0;0;0;0;0;0
13,3333;-1;14;1;8;69;0,1656;-1;4,0;0;0;0;0;0;0
13,5;-1;14;2;0;72;0,249;-1;6,0;0;0;0;0;0;0
13,75;-1;14;2;6;71;0,249;-1;6,0;0;0;0;0;0;0
14,0;-1;15;1;0;70;0,374;-1;9,0;0;0;0;0;0;0
14,375;-1;15;1;9;69;0,124;-1;3,0;0;0;0;0;0;0
14,5;-1;15;2;0;64;0,249;-1;6,0;0;0;0;0;0;0
14,75;-1;15;2;6;67;0,249;-1;6,0;0;0;0;0;0;0
15,0;-1;16;1;0;63;0,249;-1;6,0;0;0;0;0;0;0
15,25;-1;16;1;6;66;0,249;-1;6,0;0;0;0;0;0;0
15,5;-1;16;2;0;62;0,499;-1;12,0;0;0;0;0;1;0
